dataSetname,fuzzyMeasure,dat,training,testing
magic,5,2,84.54963839579224,81.62729658792651
magic,5,3,84.23127463863338,74.47368421052632
magic,5,4,84.0341655716163,81.3157894736842
magic,5,5,83.37713534822602,76.3157894736842
magic,50,1,83.4319526627219,81.62729658792651
magic,50,2,84.54963839579224,79.79002624671917
magic,50,3,85.0197109067017,77.89473684210526
magic,50,4,83.83705650459922,81.57894736842105
magic,50,5,83.77135348226018,75.26315789473684
newthyroid,5,1,99.4186046511628,90.69767441860465
newthyroid,5,2,98.83720930232558,93.02325581395348
newthyroid,5,3,99.4186046511628,97.67441860465117
newthyroid,5,4,98.25581395348837,97.67441860465117
newthyroid,5,5,98.83720930232558,95.34883720930233
newthyroid,50,1,99.4186046511628,95.34883720930233
newthyroid,50,2,98.25581395348837,95.34883720930233
newthyroid,50,3,98.25581395348837,95.34883720930233
newthyroid,50,4,97.67441860465117,97.67441860465117
newthyroid,50,5,98.83720930232558,97.67441860465117
pageblocks,5,1,96.57534246575342,95.45454545454545
pageblocks,5,2,96.34703196347031,95.45454545454545
pageblocks,5,3,96.80365296803653,94.54545454545455
pageblocks,5,4,98.17767653758543,92.66055045871559
pageblocks,5,5,97.26651480637813,92.66055045871559
pageblocks,50,1,96.57534246575342,96.36363636363636
pageblocks,50,2,96.34703196347031,96.36363636363636
pageblocks,50,3,96.57534246575342,94.54545454545455
pageblocks,50,4,97.72209567198178,92.66055045871559
pageblocks,50,5,96.12756264236901,91.74311926605505
penbased,5,1,97.61363636363636,91.36363636363636
penbased,5,2,97.8409090909091,91.36363636363636
penbased,5,3,97.95454545454545,87.27272727272727
penbased,5,4,97.1590909090909,91.36363636363636
penbased,5,5,98.06818181818181,91.36363636363636
penbased,50,1,96.81818181818181,89.54545454545455
penbased,50,2,97.8409090909091,90.0
penbased,50,3,97.61363636363636,87.72727272727273
penbased,50,4,97.04545454545455,90.45454545454545
penbased,50,5,96.5909090909091,91.36363636363636
phoneme,5,1,84.87161693268564,82.70120259019427
phoneme,5,2,85.7969003007171,82.51618871415356
phoneme,5,3,84.89474901688642,82.33117483811286
