DataSet,F1-Mean,SD,F2-Mean,SD,L1-Mean,SD,L2-Mean,SD,L3-Mean,SD
D31,142.8063,112.58,0.0213,0.21,0.1381,0.09,0.0010,0.00,0.0003,0.00
R15,211.8166,204.97,0.0801,0.25,0.2175,0.17,0.0008,0.00,0.0002,0.00
aggregation,52.6599,55.28,-0.0307,0.16,0.3057,0.11,0.0579,0.08,0.1691,0.23
compound,22.0968,21.50,-0.0321,0.12,0.4479,0.15,0.1912,0.12,0.3627,0.20
flame,3.3665,0.00,0.1761,0.00,0.6362,0.00,0.3625,0.00,0.5000,0.00
jain,4.8341,0.00,0.0421,0.00,0.4843,0.00,0.1206,0.00,0.2395,0.00
pathbased,5.0134,6.62,0.0904,0.10,0.6916,0.24,0.3089,0.22,0.3335,0.24
spiral,0.0952,0.01,0.4280,0.04,0.9516,0.00,0.4919,0.00,0.5000,0.00
