DataSet,Class1,Class2,F1,F2,L1,L2,L3
D31,1,10,226.83549653429165,0.32607516022711897,0.06122870825527307,0.0,0.0
D31,1,11,5.549781709196002,0.05092924662196179,0.38082482600733053,0.005,0.003
D31,1,12,61.4338556961608,-0.3283559563317705,0.16690629290308376,0.0,0.0
D31,1,13,70.77518268199702,-0.031915633490193815,0.13147600607123125,0.0,0.0
D31,1,14,71.34891545308948,0.16228513909397807,0.09727148219949198,0.0,0.0
D31,1,15,160.32878089803927,0.10097900261739201,0.09124002348354121,0.0,0.0
D31,1,16,226.8115610163847,0.26646490997825134,0.07340475334910589,0.0,0.0
D31,1,17,150.7513055382731,0.24229137948170587,0.08338356542299788,0.0,0.0
D31,1,18,104.28789726038079,-0.1736643497535681,0.12592948082026187,0.0,0.0
D31,1,19,149.7801513750436,-0.11258949555954553,0.11636627342250452,0.0,0.0
D31,1,2,49.24420225428608,0.07247323320797247,0.11978349448253389,0.0,0.0
D31,1,20,456.3984282788905,0.48343245778791616,0.044943542261440615,0.0,0.0
D31,1,21,225.99366033814658,0.36908062413539344,0.05650116475652131,0.0,0.0
D31,1,22,344.6821104538233,0.2939700749557264,0.06162682003138501,0.0,0.0
D31,1,23,337.9220845275061,-0.5486857803155929,0.05968515610015956,0.0,0.0
D31,1,24,211.96394183392255,-0.3067664073910781,0.08796433430444578,0.0,0.0
D31,1,25,9.067570723810125,0.07076236373223457,0.49511205556627985,0.035,0.0105
D31,1,26,84.55050366927847,-0.16533043893755997,0.12363475776278482,0.0,0.0
D31,1,27,31.6752928302479,-0.04043954758661361,0.1844237464505239,0.0,0.0
D31,1,28,280.5365343991773,0.39192935941007945,0.056379329516550586,0.0,0.0
D31,1,29,220.49314353668217,0.27785771553960453,0.07086133977521476,0.0,0.0
D31,1,3,216.8120387631334,0.07004952384380189,0.09586442672080116,0.0,0.0
D31,1,30,353.03527517691094,0.03579684873619554,0.08425348976832847,0.0,0.0
D31,1,31,321.8701179339046,0.3640129056648425,0.06680925339178885,0.0,0.0
D31,1,4,297.59716947173575,-0.49569443185138173,0.06830327620800467,0.0,0.0
D31,1,5,275.3969932746179,0.3810798428003456,0.0617067353281,0.0,0.0
D31,1,6,14.236409642265244,-0.021452692522449537,0.355504403237379,0.005,0.0
