dataSetname,fuzzyMeasure,dat,training,testing
led7digit,50,3,76.0,72.0
led7digit,50,4,72.75,72.0
led7digit,50,5,73.25,71.0
magic,5,1,84.22090729783038,80.5774278215223
magic,5,2,84.54963839579224,81.62729658792651
magic,5,3,84.23127463863338,74.47368421052632
magic,5,4,84.0341655716163,81.3157894736842
magic,5,5,83.37713534822602,76.3157894736842
magic,50,1,83.49769888231427,81.36482939632546
magic,50,2,84.35239973701512,80.31496062992126
magic,50,3,84.88830486202366,78.15789473684211
magic,50,4,83.5742444152431,82.63157894736842
magic,50,5,84.0341655716163,79.21052631578948
newthyroid,5,1,99.4186046511628,90.69767441860465
newthyroid,5,2,98.83720930232558,93.02325581395348
newthyroid,5,3,99.4186046511628,97.67441860465117
newthyroid,5,4,98.25581395348837,97.67441860465117
newthyroid,5,5,98.83720930232558,95.34883720930233
newthyroid,50,1,99.4186046511628,90.69767441860465
newthyroid,50,2,98.25581395348837,93.02325581395348
newthyroid,50,3,99.4186046511628,95.34883720930233
newthyroid,50,4,98.25581395348837,95.34883720930233
newthyroid,50,5,98.83720930232558,95.34883720930233
page-blocks,5,1,96.57534246575342,95.45454545454545
page-blocks,5,2,96.34703196347031,95.45454545454545
page-blocks,5,3,96.80365296803653,94.54545454545455
page-blocks,5,4,98.17767653758543,92.66055045871559
page-blocks,5,5,97.26651480637813,92.66055045871559
page-blocks,50,1,96.34703196347031,95.45454545454545
page-blocks,50,2,96.11872146118722,94.54545454545455
page-blocks,50,3,96.80365296803653,94.54545454545455
page-blocks,50,4,97.49430523917995,92.66055045871559
page-blocks,50,5,96.81093394077449,94.4954128440367
penbased,5,1,97.61363636363636,91.36363636363636
penbased,5,2,97.8409090909091,91.36363636363636
penbased,5,3,97.95454545454545,87.27272727272727
penbased,5,4,97.1590909090909,91.36363636363636
penbased,5,5,98.06818181818181,91.36363636363636
penbased,50,1,97.61363636363636,87.27272727272727
penbased,50,2,97.61363636363636,88.18181818181819
penbased,50,3,97.5,86.81818181818181
penbased,50,4,96.81818181818181,90.0
penbased,50,5,96.70454545454545,88.18181818181819
phoneme,5,1,84.87161693268564,82.70120259019427
phoneme,5,2,85.7969003007171,82.51618871415356
phoneme,5,3,84.89474901688642,82.33117483811286
phoneme,5,4,84.9178811010872,84.64384828862164
phoneme,5,5,84.32007400555041,82.68518518518519
phoneme,50,1,84.2470506592644,81.40610545790935
phoneme,50,2,84.89474901688642,82.70120259019427
phoneme,50,3,85.03354152209114,83.71877890841813
phoneme,50,4,83.32176729123294,83.81128584643848
phoneme,50,5,84.11193339500463,80.37037037037037
pima,5,1,84.20195439739413,77.92207792207792
pima,5,2,85.50488599348535,74.02597402597402
pima,5,3,85.50488599348535,74.67532467532467
pima,5,4,85.52845528455285,71.89542483660131
pima,5,5,84.22764227642277,71.24183006535948
pima,50,1,84.03908794788273,72.72727272727273
pima,50,2,87.78501628664495,75.32467532467533
pima,50,3,84.36482084690553,78.57142857142857
pima,50,4,84.8780487804878,73.85620915032679
pima,50,5,83.90243902439025,75.16339869281046
ring,5,1,97.63513513513513,91.21621621621621
ring,5,2,96.62162162162163,91.21621621621621
ring,5,3,95.60810810810811,89.1891891891892
ring,5,4,96.62162162162163,88.51351351351352
ring,5,5,95.4391891891892,94.5945945945946
ring,50,1,96.79054054054055,83.10810810810811
ring,50,2,94.76351351351352,86.48648648648648
ring,50,3,94.42567567567568,89.86486486486487
ring,50,4,94.93243243243244,81.08108108108108
ring,50,5,94.93243243243244,91.21621621621621
saheart,5,1,85.36585365853658,72.04301075268818
saheart,5,2,84.82384823848238,70.96774193548387
saheart,5,3,86.48648648648648,66.30434782608695
saheart,5,4,84.05405405405405,67.3913043478261
saheart,5,5,84.86486486486487,71.73913043478261
saheart,50,1,84.55284552845528,70.96774193548387
saheart,50,2,82.92682926829268,73.11827956989248
saheart,50,3,85.94594594594595,65.21739130434783
saheart,50,4,85.4054054054054,66.30434782608695
saheart,50,5,84.32432432432432,73.91304347826087
satimage,5,1,84.8249027237354,82.17054263565892
satimage,5,2,85.7976653696498,79.06976744186046
satimage,5,3,84.24124513618678,78.29457364341086
satimage,5,4,86.60194174757281,78.90625
satimage,5,5,85.24271844660194,78.90625
satimage,50,1,83.46303501945525,82.17054263565892
satimage,50,2,84.24124513618678,79.84496124031008
satimage,50,3,84.63035019455253,79.84496124031008
satimage,50,4,84.85436893203884,78.125
satimage,50,5,84.46601941747574,79.6875
segment,5,1,96.15800865800865,92.64069264069263
segment,5,2,94.37229437229438,92.42424242424242
segment,5,3,94.91341991341992,95.02164502164503
segment,5,4,95.61688311688312,93.72294372294373
segment,5,5,94.75108225108225,93.50649350649351
segment,50,1,94.91341991341992,90.9090909090909
segment,50,2,94.8051948051948,91.77489177489177
segment,50,3,94.20995670995671,93.07359307359307
segment,50,4,93.93939393939394,89.82683982683983
segment,50,5,94.64285714285714,91.34199134199135
shuttle,5,1,98.44827586206897,98.62068965517241
shuttle,5,2,97.70114942528735,97.47126436781609
shuttle,5,3,97.1264367816092,98.62068965517241
shuttle,5,4,97.58620689655173,97.01149425287356
shuttle,5,5,97.70114942528735,96.32183908045977
shuttle,50,1,97.70114942528735,96.0919540229885
shuttle,50,2,97.29885057471265,97.70114942528735
shuttle,50,3,97.06896551724138,98.62068965517241
shuttle,50,4,97.35632183908046,97.70114942528735
shuttle,50,5,98.79310344827586,98.85057471264368
sonar,5,1,100.0,73.80952380952381
sonar,5,2,99.39759036144578,73.80952380952381
sonar,5,3,99.39759036144578,78.57142857142857
sonar,5,4,100.0,80.48780487804878
sonar,5,5,100.0,80.48780487804878
sonar,50,1,100.0,85.71428571428571
sonar,50,2,100.0,69.04761904761905
